ticker,decision,entry_price,result,won,profit,fee,settled_at
KXHIGHPHIL-26JUL09-T83,BUY YES,0.11,yes,True,80.91,0.0,
KXHIGHMIA-26JUL09-B90.5,BUY YES,0.07,no,False,-10.0,0.0,
KXHIGHMIA-26JUL09-B92.5,BUY NO,0.42,yes,False,-10.0,0.0,
KXHIGHPHIL-26JUL09-B85.5,BUY NO,0.63,no,True,5.87,0.0,
KXHIGHMIA-26JUL09-B94.5,BUY NO,0.65,no,True,5.38,0.0,
KXHIGHPHIL-26JUL09-B83.5,BUY NO,0.58,no,True,7.24,0.0,
KXHIGHNY-26JUL09-T83,BUY YES,0.19,yes,True,42.63,0.0,
KXHIGHNY-26JUL09-B85.5,BUY NO,0.71,no,True,4.08,0.0,
KXHIGHAUS-26JUL09-B96.5,BUY NO,0.8,no,True,2.5,0.0,
KXHIGHMIA-26JUL09-T90,BUY YES,0.01,no,False,-10.0,0.0,
KXHIGHNY-26JUL09-B83.5,BUY NO,0.53,no,True,8.87,0.0,
KXHIGHCHI-26JUL09-B86.5,BUY NO,0.76,yes,False,-10.0,0.0,
KXHIGHAUS-26JUL09-B100.5,BUY NO,0.85,no,True,1.76,0.0,
KXHIGHDEN-26JUL09-B86.5,BUY NO,0.89,no,True,1.24,0.0,
KXHIGHPHIL-26JUL09-B87.5,BUY NO,0.9,no,True,1.11,0.0,
KXHIGHDEN-26JUL09-B88.5,BUY NO,0.79,no,True,2.66,0.0,
KXHIGHDEN-26JUL09-B90.5,BUY NO,0.65,yes,False,-10.0,0.0,
KXHIGHCHI-26JUL09-B84.5,BUY NO,0.58,no,True,7.24,0.0,
KXHIGHNY-26JUL09-B87.5,BUY NO,0.94,no,True,0.64,0.0,
KXHIGHDEN-26JUL09-T91,BUY YES,0.31,no,False,-10.0,0.0,
KXHIGHCHI-26JUL10-B81.5,BUY NO,0.35,yes,False,-10.0,0.0,
KXATPMATCH-26JUL11BRAGOM-BRA,BUY YES,0.485,no,False,-10.0,0.0,
KXHIGHNY-26JUL12-B82.5,BUY NO,0.38,no,True,86.73,2.37,2026-07-14T18:57:29+00:00
KXATPMATCH-26JUL11CINZAH-CIN,BUY NO,0.13,yes,False,-16.95,0.97,2026-07-16T04:14:36+00:00
KXHIGHMIA-26JUL15-B94.5,BUY NO,0.48,yes,False,-56.6,1.99,2026-07-16T17:01:08+00:00
KXJOBLESSCLAIMS-26JUL16-205000,BUY NO,0.07,yes,False,-10.65,0.65,2026-07-16T17:01:10+00:00
KXHIGHPHIL-26JUL15-T98,BUY YES,0.11,no,False,-62.61,3.67,2026-07-16T17:01:13+00:00
KXJOBLESSCLAIMS-26JUL16-215000,BUY YES,0.38,no,False,-10.43,0.43,2026-07-16T17:01:15+00:00
KXJOBLESSCLAIMS-26JUL16-220000,BUY YES,0.22,no,False,-10.55,0.55,2026-07-16T17:01:16+00:00
KXJOBLESSCLAIMS-26JUL16-210000,BUY YES,0.59,no,False,-10.29,0.29,2026-07-16T17:01:18+00:00
KXHIGHMIA-26JUL18-T88,BUY YES,0.02,no,False,-53.47,3.43,2026-07-19T19:53:48+00:00
KXHIGHDEN-26JUL18-T91,BUY YES,0.05,no,False,-53.37,3.33,2026-07-19T19:53:50+00:00
KXHIGHCHI-26JUL19-B78.5,BUY NO,0.25,yes,False,-47.05,2.35,2026-07-20T20:42:51+00:00
KXHIGHCHI-26JUL19-B80.5,BUY YES,0.25,no,False,-47.05,2.35,2026-07-20T20:42:52+00:00
